Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
13,20230130_121250_741485,3,bot,"Das mag sein. Aber zu beachten ist: Eine medKI kann zwar den Ärztemangel lindern, aber dafür wird mehr medizinisches Fachpersonal (u.a.  Pflegeberufe, Praxishelfer:innen, medizinische Fachassistent:innnen usw.) einschl. neuer, ähnlicher Berufsbilder benötigt.","['intro_3', 'z_trans_12', 'Z.P1-1']","[(0, 14), (14, 36), (36, 261)]"
14,20230130_121250_741485,4,user,"Inwiefern? Die Anzahl der Pflegestellen bleibt unverändert, oder nicht?",['FAQ.G1'],"[(0, 71)]"
15,20230130_121250_741485,5,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
16,20230130_121250_741485,6,user,medKI,['OTHER'],"[(0, 5)]"
17,20230130_121250_741485,7,bot,"Das verstehe ich. Aber hast Du schon einmal daran gedacht: Wenn Fehler vom Fachpersonal in den Datenerhebungszentren gemacht werden, kommt die medKI zu falschen Schlussfolgerungen. Daher kann man sich auf die Entscheidungen nicht verlassen.","['intro_1', 'z_trans_2', 'Z.K18']","[(0, 18), (18, 59), (59, 241)]"
18,20230130_121250_741485,8,user,medKI,['OTHER'],"[(0, 5)]"
19,20230130_121250_741485,9,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
20,20230130_121250_741485,10,user,Fachpersonal,['OTHER'],"[(0, 12)]"
21,20230130_121250_741485,11,bot,"Das mag sein. Aber zu beachten ist: Patient:innen sind bei schwerwiegenden medizinischen Entscheidungen keine rationalen Entscheider:innen. Die Berücksichtigung ihrer Gefühlslage, bis hin zur Verzweiflung, ist essentiell. Hier stößt eine medKI an ihre Grenzen, da ihr echtes Einfühlungsvermögen gänzlich fehlt.","['intro_3', 'z_trans_12', 'Z.K7']","[(0, 14), (14, 36), (36, 311)]"
22,20230130_121250_741485,12,user,arbeitslos,['OTHER'],"[(0, 10)]"
23,20230130_121250_741485,13,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
24,20230130_121250_741485,14,user,arbeitslos,['OTHER'],"[(0, 10)]"
25,20230130_121250_741485,15,bot,"Das ist möglich. Um auch noch einmal eine andere Seite zu beleuchten: MedKIs führen dazu, dass Patient:innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt:innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen.","['intro_2', 'z_trans_13', 'Z.K1']","[(0, 17), (17, 70), (70, 293)]"
26,20230130_121250_741485,16,user,nein,['DISSENT'],"[(0, 4)]"
27,20230130_121250_741485,17,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
28,20230130_121250_741485,18,user,In solchen Fällen können immer noch Ärtz:innen eingreifen.,['Z.K1-1'],"[(0, 58)]"
29,20230130_121250_741485,19,bot,Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten: Eine medKI kann nicht alle Lebensumstände der Patient:innen in die Untersuchung mit einbeziehen. Das Umfeld und die Lebenssituation der Patient:innen können jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig sein.,"['intro_1', 'z_trans_13', 'Z.K2']","[(0, 18), (18, 71), (71, 312)]"
30,20230130_121250_741485,20,user,"Das ist eine Annahme, irgendwann könnte auch das möglich sein.",['OTHER'],"[(0, 62)]"
31,20230130_121250_741485,21,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
32,20230130_121250_741485,22,user,In Zukunft wird das möglich sein.,['OTHER'],"[(0, 33)]"
33,20230130_121250_741485,23,bot,"Das ist möglich. Um auch noch einmal eine andere Seite zu beleuchten: Bei der Diagnostik und Therapieentscheidung sind die Erklärungen der Ergebnisse wichtig, da letztlich die Patient:innen ihrer Therapie zustimmen müssen. Eine medKI tut sich schwer, eine auf das intellektuelle Niveau der Patient:innen angepasste Erklärung zu liefern.","['intro_2', 'z_trans_13', 'Z.K5']","[(0, 17), (17, 70), (70, 337)]"
34,20230130_121250_741485,24,user,"An dieser Stelle kann Fachpersonal eingreifen. Zudem kann die Software so eingestellt sein, das Sprachverständnis der behandelten Person in den Bericht miteinzubeziehen.",['Z.K5-1'],"[(0, 169)]"
35,20230130_121250_741485,25,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
36,20230130_121250_741485,26,user,Comeon,['OTHER'],"[(0, 6)]"
37,20230130_121250_741485,27,bot,"Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten: Patient:innen haben kein Vertrauen in die medKI, da diese unpersönlich ist. Dies könnte beispielsweise bei älteren Patient:innen zu Skepsis führen.","['intro_1', 'z_trans_13', 'Z.K10']","[(0, 18), (18, 71), (71, 219)]"
38,20230130_121250_741485,28,user,"Noch. Wenn unsere Generation alt ist, wird sich das geändert haben.",['Z.K10-2'],"[(0, 67)]"
39,20230130_121250_741485,29,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
40,20230130_121250_741485,30,user,"Die Präzision der Diagnose steigt, wenn menschliches, also fehlerhaftes, Urteilsvermögen weitestgehend abgekoppelt werden.",['Z.P6'],"[(0, 122)]"
41,20230130_121250_741485,31,bot,"Das mag sein. Um auch noch einmal eine andere Seite zu beleuchten: Bei Fehlentscheidungen der medKI gibt es wenig Verständnis, die Hersteller könnten dafür verantwortlich gemacht werden und es werden hohe Schadensersatzforderungen entstehen, so dass keine Anreize zum praktischen Einsatz existieren.","['intro_3', 'z_trans_13', 'Z.K3']","[(0, 14), (14, 67), (67, 300)]"
42,20230130_121250_741485,32,user,"Stimmt. Ein neuer Rechtsrahmen ist nötig, aber das ist bei jeder großen neuen Technologie so. Es wird sich lohnen, wenn hierdurch die Diagnosen im Schnitt besser werden.","['CONSENT', 'Z.K3-1-1-1']","[(0, 8), (8, 169)]"
43,20230130_121250_741485,33,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
44,20230130_121250_741485,34,user,deine Mutter,['OTHER'],"[(0, 12)]"
45,20230130_121250_741485,35,bot,"Das ist möglich. Um auch noch einmal eine andere Seite zu beleuchten: Fehler der medKI werden von Patient:innen weniger akzeptiert als Fehler von Ärzt:innen, da sie mit einer ganz anderen Erwartungshaltung in die Untersuchungszentren der medKI gehen werden.","['intro_2', 'z_trans_13', 'Z.K12']","[(0, 17), (17, 70), (70, 258)]"
46,20230130_121250_741485,36,user,deine Mutter,['OTHER'],"[(0, 12)]"
47,20230130_121250_741485,37,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
48,20230130_121250_741485,38,user,deine Mutter,['OTHER'],"[(0, 12)]"
49,20230130_121250_741485,39,bot,Das verstehe ich. Aber zu beachten ist: Durch die große Menge gesammelter Daten werden Untersuchungszentren der medKI interessanter für Cyberangriffe. Insbesondere die elektronische Gesundheitsakte und Daten der Patient:innen könnten ausgespäht und missbraucht werden.,"['intro_1', 'z_trans_12', 'Z.K9']","[(0, 18), (18, 40), (40, 269)]"
50,20230130_121250_741485,40,user,Wie viele Argumente hast du?,['OTHER'],"[(0, 28)]"
51,20230130_121250_741485,41,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
52,20230130_130653_813976,0,user,persönlicher Ansprechpartner; Mehr Vertrauen,['Z.K1'],"[(0, 44)]"
53,20230130_130653_813976,1,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
54,20230130_130653_813976,2,user,"Ich finde, Menschen die lang studiert haben und sich intensiv mit den Themen auseinander gesetzt haben, haben ihre Zulassung hart erarbeitet. Das spricht gegen die Zzlassung der KI",['Z.K14'],"[(0, 180)]"
55,20230130_130653_813976,3,bot,"Das ist möglich. Aber zu beachten ist: Eine medKI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne medKI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich.","['intro_2', 'z_trans_12', 'Z.P1']","[(0, 17), (17, 39), (39, 291)]"
56,20230130_130653_813976,4,user,"Das stimmt, da gebe ich dir Recht. Nichtsdesto trotz kann man zu KI keine persönliche Bindung aufbauen, kein Vertrauen kann entstehen.","['CONSENT', 'Z.K1']","[(0, 35), (35, 134)]"
57,20230130_130653_813976,5,bot,"Du argumentierst, dass insbesondere ältere Patient:innen kein Vertrauen in die medKI haben werden. Das ist im Szenario bereits berücksichtigt: Vertrauensprobleme sind wie bei vielen neuen Technologien anfänglicher Art. Wenn die Technologie funktioniert, gewöhnen sich die Menschen Schritt für Schritt daran.","['intro_26', 'Z.K10', 'intro_56', 'Z.K10-2']","[(0, 23), (23, 99), (99, 143), (143, 308)]"
58,20230130_130653_813976,6,user,"Ich glaube nicht, dass sie sich Schritt für Schritt daran gewöhnen werden. Es wird eher auf Ablehung stoßen.",['Z.K10'],"[(0, 108)]"
59,20230130_130653_813976,7,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
60,20230130_130653_813976,8,user,"Ich glaube, dass viele Menschen große Vertrauensprobleme haben möchten und sich einen Arzt wünschen, der ganz individuell auf deren Belange eingehen kann.",['Z.K10'],"[(0, 154)]"
61,20230130_130653_813976,9,bot,Das ist möglich. Ansprechen möchte ich noch: Die Anwendung einer medKI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt:innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegensatz zum menschlichen Gehirn nicht.,"['intro_2', 'z_trans_11', 'Z.P2']","[(0, 17), (17, 45), (45, 326)]"
62,20230130_130653_813976,10,user,"Trotzdem möchte ich einen Arzt haben, mit dem ich persönlich über Themen reden kann und der sich mir annimmt",['Z.K1'],"[(0, 108)]"
63,20230130_130653_813976,11,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
64,20230130_130653_813976,12,user,"Vertrauen, Emotionalität, Individualität, harte Erarbeitung der Abopration",['Z.K7'],"[(0, 74)]"
65,20230130_130653_813976,13,bot,"Das verstehe ich. Aber hast Du schon einmal daran gedacht: Ärztliche Leistungen werden immer mehr nachgefragt, sowohl wegen höheren Ansprüchen als auch der Alterung der Gesellschaft. Die medKIs sind notwendig, um den steigenden Bedarf qualitativ hochwertig zu befriedigen, insbesondere auch auf dem Land.","['intro_1', 'z_trans_2', 'Z.P4']","[(0, 18), (18, 59), (59, 305)]"
66,20230130_130653_813976,14,user,"Ja, man sollte mehr Medizinplätze schaffen, nicht aber Ärzte durch KI ersetzen wollen.",['Z.P4-1'],"[(0, 86)]"
67,20230130_130653_813976,15,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
68,20230130_130653_813976,16,user,"man sollte mehr Medizinplätze schaffen aufgrund des Ärztemangeld, nicht aber probieren die Ärzte zu ersetzen durch KI",['Z.P4-1'],"[(0, 117)]"
69,20230130_130653_813976,17,bot,"Das ist möglich. Aber hast Du schon einmal daran gedacht: Patient:innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Diagnostik und Therapie, was durch eine medKI gewährleistet ist. Das ist bei Ärzt:innen, die sich neben ihrem stressigen Job mühsam weiterbilden müssen, nicht immer gewährleistet.","['intro_2', 'z_trans_2', 'Z.P3']","[(0, 17), (17, 58), (58, 334)]"
70,20230130_130653_813976,18,user,das finde ich kann nicht die Lösung für das Problem sein,['DISSENT'],"[(0, 56)]"
71,20230130_130653_813976,19,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
72,20230130_130653_813976,20,user,"Deswegen sollte man daran arbeiten, Stress zu entlasten, indem man mehr Studienplätze schafft und folglich mehr Menschen in diesem Beruf arbeiten können. Eine Ersetzung der KI empfinde ich als nicht sinnvoll.",['Z.P4-1'],"[(0, 208)]"
73,20230130_130653_813976,21,bot,"Das mag sein. Um auch noch einmal eine andere Seite zu beleuchten: Die Aus- und Weiterbildung von Ärzt:innen ist sehr teuer. MedKIs entlasten sie bezüglich medizinischem Fachwissen, machen sie aber nicht überflüssig, da sie für Untersuchungen und Gespräche weiterhin notwendig sind. Insgesamt ist das Szenario kostengünstiger - bei höherer Qualität der Behandlung.","['intro_3', 'z_trans_13', 'Z.P5']","[(0, 14), (14, 67), (67, 365)]"
74,20230130_130653_813976,22,user,Die Bundesregierung sollte mehr Geld in die Medizinausbildung stecken,['Z.P5-1'],"[(0, 69)]"
75,20230130_130653_813976,23,bot,"Du merkst an, dass Kosten im Gesundheitssystem nicht die Hauptrolle spielen sollten. Da gebe ich dir recht. Ansprechen möchte ich noch: Ein medKI könnte aufgrund der bekannten Datenmengen Diagnosen und Therapieeffekte genauer einschätzen als Ärzt:innen. Dadurch könnte sie verschiedene Alternativen mit Wahrscheinlichkeitsangaben für Patient:innen in schwierigen Situationen aufzeigen.","['intro_28', 'Z.P5-1', 'intro_6', 'z_trans_11', 'Z.P6']","[(0, 19), (19, 85), (85, 108), (108, 136), (136, 386)]"
76,20230130_130653_813976,24,user,Stimmt daran habe ich noch gar nicht gedachr,['CONSENT'],"[(0, 44)]"
77,20230130_130653_813976,25,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
78,20230130_130653_813976,26,user,Dein Argument empfinde ich als sinnvoll,['CONSENT'],"[(0, 39)]"
79,20230130_130653_813976,27,bot,Das ist möglich. Aber hast Du schon einmal daran gedacht:,"['intro_2', 'z_trans_2']","[(0, 17), (17, 58)]"
80,20230130_130653_813976,28,user,an was,['OTHER'],"[(0, 7)]"
81,20230130_130653_813976,29,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
82,20230130_130653_813976,30,user,Ich stimme dir zu,['CONSENT'],"[(0, 17)]"
83,20230130_130653_813976,31,bot,Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten:,"['intro_1', 'z_trans_13']","[(0, 18), (18, 71)]"
84,20230130_130653_813976,32,user,Ja ich warte ?,['OTHER'],"[(0, 15)]"
85,20230130_130653_813976,33,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
86,20230130_121727_914069,0,user,Hi,['OTHER'],"[(0, 2)]"
87,20230130_121727_914069,1,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
88,20230130_121727_914069,2,user,Können KIs Verantwortung übernehmen?,['FAQ.7'],"[(0, 36)]"
89,20230130_121727_914069,3,bot,"Das ist möglich. Ansprechen möchte ich noch: Eine medKI kann zwar den Ärztemangel lindern, aber dafür wird mehr medizinisches Fachpersonal (u.a.  Pflegeberufe, Praxishelfer:innen, medizinische Fachassistent:innnen usw.) einschl. neuer, ähnlicher Berufsbilder benötigt.","['intro_2', 'z_trans_11', 'Z.P1-1']","[(0, 17), (17, 45), (45, 270)]"
90,20230130_124514_959130,0,user,"Die Emphatie die ein Mensch empfinden kann, kann nicht von einem Roboter ersetzt werden",['Z.K1'],"[(0, 87)]"
91,20230130_124514_959130,1,bot,"Dein Argument ist, dass die medKI unpersönlicher ist. Das ist im Szenario bereits berücksichtigt: Eine medKI trifft nur Entscheidungen, menschliche Zuwendung wird nach wie vor durch psychologisch geschultes medizinisches Fachpersonal gewährleistet, auf Patient:innen-Wunsch auch feste Vertrauenspersonen. Daher ist eher eine Zunahme an psychischem Beistand zu erwarten.","['intro_25', 'Z.K1', 'intro_56', 'Z.K1-1']","[(0, 24), (24, 54), (54, 98), (98, 370)]"
92,20230130_124514_959130,2,user,"Man will aber lieber mit einer Person sprechen, die eventuell schon ähnliche Erfahurngen im menschlichen Leben gemacht hat",['Z.K1'],"[(0, 122)]"
93,20230130_124514_959130,3,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
94,20230130_124514_959130,4,user,Menschlich sein kann vielleicht von einem Roboter versucht werden aber nicht komplett perfektioniert werden,['Z.K1'],"[(0, 107)]"
95,20230130_124514_959130,5,bot,"Das verstehe ich. Aber hast Du schon einmal daran gedacht: Eine medKI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne medKI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich.","['intro_1', 'z_trans_2', 'Z.P1']","[(0, 18), (18, 59), (59, 311)]"
96,20230130_124514_959130,6,user,Da stimme ich dir zu,['CONSENT'],"[(0, 20)]"
97,20230130_124514_959130,7,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
98,20230130_124514_959130,8,user,"Es gibt tatsächlich viele positive Argumente und ich stimme zu, dass ein Teil der Arbeit übernommen werden könnte, aber halt nicht alles",['OTHER'],"[(0, 136)]"
99,20230130_124514_959130,9,bot,Das mag sein. Ansprechen möchte ich noch: Die Anwendung einer medKI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt:innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegensatz zum menschlichen Gehirn nicht.,"['intro_3', 'z_trans_11', 'Z.P2']","[(0, 14), (14, 42), (42, 323)]"
100,20230130_124514_959130,10,user,Aber gleiche Fähigkeiten reichen nicht aus. Es geht gerade darum individuell auf alle Menschen einzugehen,['Z.K2'],"[(0, 105)]"
101,20230130_124514_959130,11,bot,"Du meinst also, dass Fehler der medKI sich multiplizieren. Das ist möglich, aber nicht sehr wahrscheinlich. Fehler lassen sich in der Medizin nicht vermeiden. Eine medKI ist aber ein lernendes System und wird auf Dauer Strukturfehler korrigieren. Darin ist sie Menschen überlegen, da sie aus sehr vielen Fällen lernen kann.","['intro_23', 'Z.K4', 'intro_58', 'Z.K4-1']","[(0, 21), (21, 59), (59, 108), (108, 324)]"
102,20230130_124514_959130,12,user,"Ok, da gibt es kein Gegeenarguwmbt",['OTHER'],"[(0, 34)]"
103,20230130_124514_959130,13,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
104,20230130_124514_959130,14,user,Mit Robotern steigt die Arbeotslosenrate,['Z.K14'],"[(0, 40)]"
105,20230130_124514_959130,15,bot,"Das mag sein. Aber hast Du schon einmal daran gedacht: Ärztliche Leistungen werden immer mehr nachgefragt, sowohl wegen höheren Ansprüchen als auch der Alterung der Gesellschaft. Die medKIs sind notwendig, um den steigenden Bedarf qualitativ hochwertig zu befriedigen, insbesondere auch auf dem Land.","['intro_3', 'z_trans_2', 'Z.P4']","[(0, 14), (14, 55), (55, 301)]"
106,20230130_120923_419945,0,user,Bei schwerwiegenden Diagnosen keine emotionale Unterstützung durch anwesende Person,['Z.K7'],"[(0, 83)]"
107,20230130_120923_419945,1,bot,"Dein Argument ist, dass die medKI kein Einfühlungsvermögen zB für verzweifelte Patient:innen hat. Das ist im Szenario bereits berücksichtigt: Da der medKI echtes Einfühlungsvermögen fehlt, sollte das medizinische Fachpersonal in den Untersuchungszentren die Kommunikation insbesondere bei schwierigen Situationen übernehmen.","['intro_25', 'Z.K7', 'intro_56', 'Z.K7-1']","[(0, 24), (24, 98), (98, 142), (142, 325)]"
108,20230130_120923_419945,2,user,okay,['OTHER'],"[(0, 4)]"
109,20230130_120923_419945,3,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
110,20230130_115358_944518,0,user,Keine Empathie,['Z.K7'],"[(0, 15)]"
111,20230130_115358_944518,1,bot,"Kurz zusammengefasst, die medKI hat kein Einfühlungsvermögen zB für verzweifelte Patient:innen. Darauf geht unser Szenario wie folgt ein: Da der medKI echtes Einfühlungsvermögen fehlt, sollte das medizinische Fachpersonal in den Untersuchungszentren die Kommunikation insbesondere bei schwierigen Situationen übernehmen.","['intro_24', 'Z.K7', 'intro_55', 'Z.K7-1']","[(0, 22), (22, 96), (96, 138), (138, 321)]"
112,20230130_115358_944518,2,user,Zu viel Wissen kann Menschen Angst machen,['Z.K10'],"[(0, 42)]"
113,20230130_115358_944518,3,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
114,20230130_115358_944518,4,user,Zu viele Krankheiten möglich,['Z.K2'],"[(0, 28)]"
115,20230130_115358_944518,5,bot,"Das ist möglich. Aber zu beachten ist: Eine medKI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne medKI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich.","['intro_2', 'z_trans_12', 'Z.P1']","[(0, 17), (17, 39), (39, 291)]"
116,20230130_115358_944518,6,user,Systemfehler,['Z.K4'],"[(0, 12)]"
117,20230130_115358_944518,7,bot,"Mit anderen Worten, Fehler der medKI multiplizieren sich. Das ist möglich, aber nicht sehr wahrscheinlich. Fehler lassen sich in der Medizin nicht vermeiden. Eine medKI ist aber ein lernendes System und wird auf Dauer Strukturfehler korrigieren. Darin ist sie Menschen überlegen, da sie aus sehr vielen Fällen lernen kann.","['intro_32', 'Z.K4', 'intro_58', 'Z.K4-1']","[(0, 20), (20, 58), (58, 107), (107, 323)]"
118,20230130_115358_944518,8,user,Hohe Kosten,['Z.P1-2'],"[(0, 12)]"
119,20230130_115358_944518,9,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
120,20230130_115358_944518,10,user,Zu teure technologie,['Z.P1-2'],"[(0, 20)]"
121,20230130_115358_944518,11,bot,Das verstehe ich. Ansprechen möchte ich noch: Die Anwendung einer medKI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt:innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegensatz zum menschlichen Gehirn nicht.,"['intro_1', 'z_trans_11', 'Z.P2']","[(0, 18), (18, 46), (46, 327)]"
122,20230130_115358_944518,12,user,Arbeitslosigkeit des medizinischen Personals,['Z.K14'],"[(0, 44)]"
123,20230130_115358_944518,13,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
124,20230130_115358_944518,14,user,Personal verliert Job,['Z.K14'],"[(0, 22)]"
125,20230130_115358_944518,15,bot,"Das mag sein. Ansprechen möchte ich noch: Ärztliche Leistungen werden immer mehr nachgefragt, sowohl wegen höheren Ansprüchen als auch der Alterung der Gesellschaft. Die medKIs sind notwendig, um den steigenden Bedarf qualitativ hochwertig zu befriedigen, insbesondere auch auf dem Land.","['intro_3', 'z_trans_11', 'Z.P4']","[(0, 14), (14, 42), (42, 288)]"
126,20230130_115358_944518,16,user,Hohe Energiekosten,['Z.P1-2'],"[(0, 18)]"
127,20230130_115358_944518,17,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
128,20230130_115358_944518,18,user,Hoher Energieverbrauch,['NZ.K4'],"[(0, 23)]"
129,20230130_115358_944518,19,bot,"Das verstehe ich. Aber zu beachten ist: Patient:innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Diagnostik und Therapie, was durch eine medKI gewährleistet ist. Das ist bei Ärzt:innen, die sich neben ihrem stressigen Job mühsam weiterbilden müssen, nicht immer gewährleistet.","['intro_1', 'z_trans_12', 'Z.P3']","[(0, 18), (18, 40), (40, 316)]"
130,20230130_115358_944518,20,user,Fehlender sozialer Kontakt,['Z.K1'],"[(0, 27)]"
131,20230130_115358_944518,21,bot,"Du meinst also, dass die medKI unpersönlicher ist. Darauf geht unser Szenario wie folgt ein: Eine medKI trifft nur Entscheidungen, menschliche Zuwendung wird nach wie vor durch psychologisch geschultes medizinisches Fachpersonal gewährleistet, auf Patient:innen-Wunsch auch feste Vertrauenspersonen. Daher ist eher eine Zunahme an psychischem Beistand zu erwarten.","['intro_23', 'Z.K1', 'intro_55', 'Z.K1-1']","[(0, 21), (21, 51), (51, 93), (93, 365)]"
132,20230130_115358_944518,22,user,Immer mehr neue Krankheiten,['OTHER'],"[(0, 27)]"
133,20230130_115358_944518,23,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
134,20230130_115358_944518,24,user,Immer höhere Anforderungen an System,['CON_NZARG'],"[(0, 37)]"
