Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
45,20230130_131227_281984,5,bot,"Dir scheint also unklar zu sein, welche Art von Fällen diese KI verhandelt. Unsere jurKI ist auf zivilrechtliche Verfahren spezialisiert, wobei wir das Familienrecht als Teilgebiet explizit nicht hinzuzählen. Strafrechtliche Verfahren schließen wir in unserem Szenario ebenfalls aus. Um hier einen neuen Punkt in die Diskussion einzubringen: Durch den Einsatz der jurKI kann der Faktor Subjektivität bei Gerichtsurteilen ausgeräumt werden. Eine jurKI lässt sich nicht etwa durch Mitgefühl von den objektiven Fakten ablenken. Dies führt zu mehr Gerechtigkeit.","['intro_38', 'FAQ.1', 'FAQ.1-1', 'faq_trans_1', 'Z.P1']","[(0, 33), (33, 76), (76, 284), (284, 342), (342, 559)]"
46,20230130_120140_782797,0,user,Emotionen,['OTHER'],"[(0, 9)]"
47,20230130_120140_782797,1,bot,"Du sagst, dass KI keine Werte befolgt. Darauf geht unser Szenario wie folgt ein: Die jurKI ist ein zertifizierter Service des Staates, der die moralischen Leitlinien und Regeln vorgibt. Hierfür werden insb. auch die Erkenntnisse der Philosophie und Computerwissenschaft hinzugezogen und z.B. in ein passendes Diskriminierungsgesetz übersetzt.","['intro_27', 'Z.K6', 'intro_55', 'Z.K6-1']","[(0, 15), (15, 39), (39, 81), (81, 343)]"
48,20230130_120140_782797,2,user,"Der Chatbot ermittelt Werte, aufgrund vorgefertigter und gefütterter Informationen und ""rechnet"" dann aus, was ""richtig und ""falsch"" ist. Die Emotionale Seite ist also nicht rral",['Z.K2'],"[(0, 178)]"
49,20230130_120140_782797,3,bot,"Du merkst an, dass KI von fehlerhaften Urteilen falsch lernen und Leitlinien sowie sonstige Regeln verletzen könnte. Darauf geht unser Szenario wie folgt ein: Neben der Umsetzung der Regeln und Leitlinien wird eine jurKI ausschließlich aus selektierten Fällen, die gerade nicht vorurteilsbehaftet und diskriminierend sind, lernen und somit bestehende Vorurteile oder Diskriminierungen nicht berücksichtigen.","['intro_28', 'Z.K6-1-1', 'intro_55', 'Z.K6-1-1-1']","[(0, 19), (19, 117), (117, 159), (159, 408)]"
50,20230130_120140_782797,4,user,"Dafür könnte die KI benutzt werden, allerdings sollte sie nie ein Richter ersetzten, sonderm maximals als Hilfstool verwendet werden dürfen, um Vorurteile und Diskriminierung nicht zu berücksichtigen",['NZ.K10'],"[(0, 199)]"
51,20230130_120140_782797,5,bot,"Kurz zusammengefasst, KI könnte von fehlerhaften Urteilen falsch lernen und Leitlinien sowie sonstige Regeln verletzen. Darauf geht unser Szenario wie folgt ein: Aber hast Du schon einmal daran gedacht: Durch den Einsatz der jurKI kann der Faktor Subjektivität bei Gerichtsurteilen ausgeräumt werden. Eine jurKI lässt sich nicht etwa durch Mitgefühl von den objektiven Fakten ablenken. Dies führt zu mehr Gerechtigkeit.","['intro_24', 'Z.K6-1-1', 'intro_55', 'z_trans_2', 'Z.P1']","[(0, 22), (22, 120), (120, 162), (162, 203), (203, 420)]"
52,20230130_120140_782797,6,user,"Allerdings sind die Informationen, die der Bot zum urteil führen, auch von einem Menschen, die Vorurteile haben",['Z.K6-1-1'],"[(0, 111)]"
53,20230130_120140_782797,7,bot,"Dein Argument ist, dass KI keine Werte befolgt. Darauf geht unser Szenario wie folgt ein: Dieser Einwand beruht auf einem technisch überholten Bild und setzt ein idealisiertes Bild von Richter:innen voraus. Das Lernverfahren erfolgt mittlerweile Bottom-Up, also bspw. zunächst anhand kleinerer und einfacher Fälle bis hin zu komplexen und schwierigen Sachverhalten, und der jurKI können Werte beigebracht werden, etwa durch das sog. supervised learning.","['intro_25', 'Z.K6', 'intro_55', 'Z.K6-2']","[(0, 24), (24, 48), (48, 90), (90, 455)]"
54,20230130_123604_576952,0,user,Hi,['OTHER'],"[(0, 2)]"
55,20230130_123604_576952,1,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
56,20230130_123604_576952,2,user,"Ich meine, dass sie eine objektive und nicht beeinflussbare Meinung bilden können.",['Z.P1'],"[(0, 82)]"
57,20230130_123604_576952,3,bot,Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten: Die Entwicklung von KI ist bisher nahezu keinen moralischen Leitlinien und Regeln unterworfen und kann nicht werten. Richter:innen hingegen bekennen sich zu Werten durch die Ausübung ihres Berufs und des rechtlichen Rahmens.,"['intro_1', 'z_trans_13', 'Z.K6']","[(0, 18), (18, 71), (71, 296)]"
58,20230130_123604_576952,4,user,Das sehe ich auch so.,['CONSENT'],"[(0, 21)]"
59,20230130_123604_576952,5,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
60,20230130_123604_576952,6,user,Und außerdem unterliegen kis keinem Messefehler oder sind beeinflussbar durch z.B. Bestechung.,['Z.P3'],"[(0, 94)]"
61,20230130_123604_576952,7,bot,"Das mag sein. Ansprechen möchte ich noch: Die jurKI kann dem/der Adressat:in ihrer Macht nicht menschlich begegnen, sondern dies allenfalls simulieren, da die Black Box undurchschaubar ist. Wie kann sie über das Leben der Bürger:innen urteilen, wenn sie hiervon keine Ahnung hat?","['intro_3', 'z_trans_11', 'Z.K2']","[(0, 14), (14, 42), (42, 281)]"
62,20230130_123604_576952,8,user,"Sehe ich nicht so. Sie kann genau deswegen urteilen, weil sie aus einer losgelösten Position aus urteilt- so wie Gott.","['DISSENT', 'Z.P1']","[(0, 19), (19, 118)]"
63,20230130_123604_576952,9,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
64,20230130_123604_576952,10,user,"Ich meine, dass sie genau deswegen urteilen kann, weil sie nicht an die Lebenswelt von Menschen gebunden sind.",['Z.P1'],"[(0, 110)]"
65,20230130_123604_576952,11,bot,Das ist möglich. Um auch noch einmal eine andere Seite zu beleuchten: Die von der jurKI präsentierten Ergebnisse sind in ihrer Ausgabe weniger flexibel. Die Befassung menschlicher Richter:innen zur endgültigen Entscheidung erlaubt ihnen die Ausübung der notwendigen Ermessensmacht. Dies ist Ausdruck einer individualisierten Rechtsprechung.,"['intro_2', 'z_trans_13', 'Z.K4']","[(0, 17), (17, 70), (70, 341)]"
66,20230130_123604_576952,12,user,Außerdem sind sie viele billiger als Richter*innen.,['Z.P8'],"[(0, 51)]"
67,20230130_123604_576952,13,bot,"Du argumentierst, dass die KI günstiger ist. Das ist ein gutes Argument. Andererseits: Man müsste wie in unserem Szenario auch gegen eine jurKI eine Berufung einer höheren Instanz zulassen, die dann nicht von der gleichen jurKI entschieden werden dürfte (da jene das gleiche Ergebnis erzielen würde), sondern von menschlichen Richter:innen.","['intro_26', 'Z.P8', 'intro_46', 'Z.P8-2']","[(0, 23), (23, 45), (45, 87), (87, 341)]"
68,20230130_123604_576952,14,user,Ja das stimmt. Und man darf nicht den hohen Strombedarf vergessen.,"['CONSENT', 'NZ.K2']","[(0, 15), (15, 66)]"
69,20230130_123604_576952,15,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
70,20230130_123604_576952,16,user,Außerdem könnten sie eventuell auch konsultativ tätig sein. Also dass der Richter selbst ein Urteil bildet mit der Hilfe der ki.,['NZ.K10'],"[(0, 128)]"
71,20230130_123604_576952,17,bot,"Das mag sein. Aber zu beachten ist: Die jurKI als Richter:in könnte auf wenig Akzeptanz in der Gesellschaft stoßen. Immerhin will man als Mensch von der Justiz wahrgenommen werden und nicht von einem Programm einfach und schnell ""verwertet"" werden.","['intro_3', 'z_trans_12', 'Z.K9']","[(0, 14), (14, 36), (36, 249)]"
72,20230130_123604_576952,18,user,"Finde das nicht, da sie sehr hilfreich sein kann und deswegen auch eventuell besser angenommen werden kann.",['Z.K9-1'],"[(0, 107)]"
73,20230130_123604_576952,19,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
74,20230130_123604_576952,20,user,Schwierige Sache,['OTHER'],"[(0, 16)]"
75,20230130_123604_576952,21,bot,"Das ist möglich. Aber hast Du schon einmal daran gedacht: Richter:in ist für viele ein Berufswunsch und mithin Motiv für das Studium. Ohne dieses Berufsbild, würden sich möglicherweise weniger Menschen für das Studium entscheiden. Dies würde dazu führen, dass es weniger Jurist:innen gibt, was jedoch wichtig für die Demokratie ist.","['intro_2', 'z_trans_2', 'Z.K7']","[(0, 17), (17, 58), (58, 333)]"
76,20230130_123604_576952,22,user,Die ki könnte auch gehackt werden.,['Z.K14'],"[(0, 34)]"
77,20230130_123604_576952,23,bot,"Dein Argument ist, dass moralische Leitlinien und Regeln vorgegeben sind. Das verstehe ich. Direkt dazu: Die Regel und Leitlinien sind schnell erlassen, allerdings dürfte sich die Umsetzung beispielsweise eines Diskriminierungsgesetzes für die jurKI als schwierig erweisen, da eine KI auch aus Fällen lernt, in denen möglicherweise vorurteilsbehaftet und diskriminierend von menschlichen Richter:innen entschieden wurde.","['intro_25', 'Z.K6-1', 'intro_51', 'Z.K6-1-1']","[(0, 24), (24, 74), (74, 105), (105, 421)]"
78,20230130_123604_576952,24,user,Das ist ein weites Feld,['OTHER'],"[(0, 23)]"
79,20230130_123604_576952,25,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",['intro_62'],"[(0, 80)]"
80,20230130_123604_576952,26,user,Wie ist das Wetter,['OTHER'],"[(0, 18)]"
81,20230130_123604_576952,27,bot,"Das verstehe ich. Aber zu beachten ist: Um Gesetze zu interpretieren und anzuwenden bedarf es stets einer menschlichen Bewertung, ein sog. Werturteil. Das kann nur duch empathische Richter:innen sichergestellt werden, ohne zu riskieren, dass die menschlichen Rechte und die Würde verletzt bzw. beeinträchtigt werden.","['intro_1', 'z_trans_12', 'Z.P1-1']","[(0, 18), (18, 40), (40, 317)]"
82,20230130_121552_163780,0,user,- Objektivität,['Z.P1'],"[(0, 14)]"
83,20230130_121552_163780,1,bot,"Du meinst also, dass die jurKI objektiv ist. Das verstehe ich. Direkt dazu: Die Richter:innen sind immer unterschiedliche Personen und entscheiden dementsprechend unterschiedlich. Dies ist für ein funktionierendes Rechtssystem von großer Bedeutung, da unterschiedliche Urteile auch das Ergebnis verschiedener an sich richtiger Abwägungen sein können.","['intro_23', 'Z.P1', 'intro_51', 'Z.P1-2']","[(0, 21), (21, 45), (45, 76), (76, 351)]"
84,20230130_121552_163780,2,user,- ökonomischer Vorteil,['Z.P8'],"[(0, 23)]"
85,20230130_121552_163780,3,bot,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",['intro_61'],"[(0, 81)]"
86,20230130_121552_163780,4,user,"Juristen zu bezahlen ist teuer, das geld kann an anderer stelle genutzt werden",['Z.P8'],"[(0, 78)]"
87,20230130_121552_163780,5,bot,Das ist möglich. Aber hast Du schon einmal daran gedacht: Die Entwicklung von KI ist bisher nahezu keinen moralischen Leitlinien und Regeln unterworfen und kann nicht werten. Richter:innen hingegen bekennen sich zu Werten durch die Ausübung ihres Berufs und des rechtlichen Rahmens.,"['intro_2', 'z_trans_2', 'Z.K6']","[(0, 17), (17, 58), (58, 283)]"
88,20230130_121552_163780,6,user,allerdings kann es solche Leitlinien lernen,['Z.K6-2'],"[(0, 43)]"
89,20230130_121552_163780,7,bot,"Du sagst, dass der KI juristische Werte beigebracht werden können. Ich denke damit liegst du richtig. Aber zu beachten ist: Die Regel und Leitlinien sind schnell erlassen, allerdings dürfte sich die Umsetzung beispielsweise eines Diskriminierungsgesetzes für die jurKI als schwierig erweisen, da eine KI auch aus Fällen lernt, in denen möglicherweise vorurteilsbehaftet und diskriminierend von menschlichen Richter:innen entschieden wurde.","['intro_27', 'Z.K6-2', 'intro_5', 'z_trans_12', 'Z.K6-1-1']","[(0, 15), (15, 67), (67, 102), (102, 124), (124, 440)]"
90,20230130_121552_163780,8,user,genau das is der punkt menschliche richter können ihre eigene meinung nicht ausschalten und daher wird sie immer die Entscheidung beeinflussen,['Z.P1'],"[(0, 143)]"
91,20230130_121552_163780,9,bot,"Du sagst, dass die KI nicht unter Druck steht. Das verstehe ich. Direkt dazu: Da die JurKI bei gleichem Input immer das gleiche Ergebnis liefern würde, würden Fehler an vielen Stellen gleichzeitig passieren und wären so deutliche weitreichender, als die eines Menschen.","['intro_27', 'Z.P3', 'intro_51', 'Z.P3-1']","[(0, 15), (15, 47), (47, 78), (78, 271)]"
92,20230130_121552_163780,10,user,aber die JurKI müsste soweit entwickelt werden bevor sie freigegeben wird & dann sollten keine systemischen fehler vorkommen,['Z.P3-1-1'],"[(0, 124)]"
