Unnamed: 0,dialogue,utterance_id,utterance_type,utterance_text,labels,bounds
59,20230720_125810_203163,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann keine Verantwortung übernehmen. |   Das verstehe ich. Direkt dazu: Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.",['Z.K6'],"[(0, 481)]"
60,20230720_125810_203163,4,user,Ok,['OTHER'],"[(0, 2)]"
61,20230720_125810_203163,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann gezielt getäuscht werden. |   Das mag sein. Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.",['Z.K2'],"[(0, 303)]"
62,20230720_125810_203163,6,user,Aber alles kann man nicht lernen,['Z.K1'],"[(0, 32)]"
63,20230720_125810_203163,7,bot,"Du merkst an, dass Einer SchiriKI die menschliche Intuition fehlt. Das kann ich nachvollziehen. Ansprechen möchte ich noch: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.","['intro_28', 'Z.K5', 'intro_53', 'z_trans_11', 'Z.P1']","[(0, 19), (19, 67), (67, 96), (96, 124), (124, 235)]"
64,20230720_125810_203163,8,user,Aber in brisanten Situationen fehlt einfach die menschliche Intuition,['Z.K5'],"[(0, 70)]"
65,20230720_125810_203163,9,bot,"Mit anderen Worten, Einer SchiriKI fehlt die menschliche Intuition. Das kann ich nachvollziehen. Aber hast Du schon einmal daran gedacht: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.","['intro_32', 'Z.K5', 'intro_53', 'z_trans_2', 'Z.P3']","[(0, 20), (20, 68), (68, 97), (97, 138), (138, 284)]"
66,20230720_125810_203163,10,user,Das stimmt,['CONSENT'],"[(0, 10)]"
67,20230720_125810_203163,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Ich stimme deiner Argumentation zu. |   Freut mich, dass du mein Argument gut findest.   Aber zu beachten ist: Eine SchiriKI entscheidet in Echtzeit ohne Nachkontrolle und kann entsprechend Entscheidungen schneller als ein Mensch treffen. Hierdurch können DIskussionen verringert werden und der Spielfluss verbessert werden.",['OTHER'],"[(0, 468)]"
68,20230720_134118_330979,0,user,"Emotionen gehören zum Fußball dazu, deshalb sollte ein menschlicher Schiedsrichter weiterhin die Entscheidung treffen",['Z.P2-1'],"[(0, 118)]"
69,20230720_134118_330979,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das ist ein gutes Argument. Andererseits: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 412)]"
70,20230720_134118_330979,2,user,"Häufig sind die Winkel der Kameras nicht eindeutig, deshalb muss der Schiedsrichter mit den Spielern sprechen",['Z.K3'],"[(0, 109)]"
71,20230720_134118_330979,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht bei schlechter Sicht. |   Das ist möglich. Das ist wahrscheinlich korrekt. Aber unter diesen Umständen müsste ein Spiel auch ohne SchiriKI unterbrochen oder abgebrochen werden.",['Z.K3'],"[(0, 356)]"
72,20230720_134118_330979,4,user,"Das ist richtig, außerdem wäre eine Schiri-KI zu 100% unparteiisch",['Z.P5'],"[(0, 66)]"
73,20230720_134118_330979,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann wegen technische Störungen ausfallen |   Das mag sein. Fällt die SchiriKI aus, wird dies der ""Autoritätsperson"" innerhalb kurzer Zeit auffallen, wenn nicht sowieso bereits das System der SchiriKI über eine eingeschränkte Nutzung informiert.",['Z.K4'],"[(0, 405)]"
74,20230720_134118_330979,6,user,Danach muss das Spiel aber fortgesetzt werden - mit oder ohne KI?,['FAQ.G1'],"[(0, 65)]"
75,20230720_134118_330979,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Zum Fußball gehört die Unberechenbarkeit auch der Schiedsrichter. |   Das verstehe ich. Das ist ein Widerspruch in sich, wenn man einerseits Schiedsrichter für Fehlentscheidungen beschimpft, aber andererseits den Zustand nicht verbessern will.",['Z.K8'],"[(0, 389)]"
76,20230720_134118_330979,8,user,Ja richtig,['CONSENT'],"[(0, 10)]"
77,20230720_134118_330979,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Zum Fußball gehört die Unberechenbarkeit auch der Schiedsrichter. |   Dem würde ich zustimmen.  Aber hast Du schon einmal daran gedacht: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.",['Z.K8'],"[(0, 391)]"
78,20230720_134118_330979,10,user,Die Emotionen gehen verschütt,['Z.P3-1'],"[(0, 29)]"
79,20230720_134118_330979,11,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI ist eine Black Box und kann nicht erklären. |   Das ist möglich. Die BlackBox-Problematik trifft hier nicht zu. Die SchiriKI muss nur die entscheidende Szene und zur Begründung ähnliche Referenzszenen zeigen (z.B. bei Handspiel oder Festhalten des Gegners usw.).",['Z.K7'],"[(0, 422)]"
80,20230720_130703_700139,0,user,Keine Parteilichkeit,['Z.P5'],"[(0, 21)]"
81,20230720_130703_700139,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht gut genug. |   Das mag sein. Eine SchiriKI wird kontinuierlich verbessert, indem sie mit neuen Situationen nachtrainiert wird und geänderte Regeln beigebracht bekommt. Es gibt beim Fußball ohnehin nur eine begrenztet Anzahl von Entscheidungen, die sich auch mit den derzeitigen Methoden des Deep Learning sehr gut trainieren lassen, da es viele Trainingsbeispiele gibt.",['Z.K1'],"[(0, 549)]"
82,20230720_130703_700139,2,user,Neutrale Entscheidung,['Z.P2'],"[(0, 22)]"
83,20230720_130703_700139,3,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Fehler in den Daten könnten Fehler der KI verursachen |   Das ist möglich. Da fehlerhafte Entscheidungen bei der Auswahl der Datensätze viel leichter erkannt werden, als einem menschlichen Schiedsrichter in der konkreten Situation, hat die SchiriKI aufgrund ihrer Vorbereitung auf konkrete Anwendungsbeispiele einen erheblichen Vorteil gegenüber menschlichen Schiedsrichtern.",['Z.K1-1-1'],"[(0, 521)]"
84,20230720_130703_700139,4,user,Situationsabhängig,['OTHER'],"[(0, 18)]"
85,20230720_130703_700139,5,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI funktioniert nicht gut genug. |   Ich denke damit liegst du richtig.  Aber hast Du schon einmal daran gedacht: Eine SchiriKI trifft konsistente regelkonforme Entscheidungen und entscheidet in ähnlichen Situationen gleich.",['Z.K1'],"[(0, 379)]"
86,20230720_130703_700139,6,user,Erfahrung,['OTHER'],"[(0, 10)]"
87,20230720_130703_700139,7,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Einer SchiriKI fehlt die menschliche Intuition. |   Das kann ich nachvollziehen. Direkt dazu: Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.",['Z.K5'],"[(0, 412)]"
88,20230720_130703_700139,8,user,Kein Strom notwendig,['OTHER'],"[(0, 21)]"
89,20230720_130703_700139,9,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann keine Verantwortung übernehmen. |   Das verstehe ich. Direkt dazu: Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.",['Z.K6'],"[(0, 481)]"
90,20230720_130703_700139,10,user,Keine Verantwortung,['Z.K6'],"[(0, 20)]"
91,20230720_130703_700139,11,bot,"Du meinst also, dass Eine SchiriKI keine Verantwortung übernehmen kann. Das verstehe ich. Um auch noch einmal eine andere Seite zu beleuchten: Aufgrund der objektiven und nachvollziehbaren Entscheidungen der SchiriKI wird es zu weniger Diskussionen und Protesten auf dem Spielfeld kommen.","['intro_23', 'Z.K6', 'intro_54', 'z_trans_13', 'Z.P3']","[(0, 21), (21, 72), (72, 90), (90, 143), (143, 289)]"
92,20230720_141643_727159,0,user,Wie soll das umgesetzt werdne,['FAQ.G1'],"[(0, 29)]"
93,20230720_141643_727159,1,bot,"Ich bin mir nicht sicher, was du meinst. Bitte wähle aus der folgenden Liste ein Argument aus, das deinen Standpunkt am besten repräsentiert. | Eine SchiriKI kann wegen technische Störungen ausfallen |   Das ist möglich. Fällt die SchiriKI aus, wird dies der ""Autoritätsperson"" innerhalb kurzer Zeit auffallen, wenn nicht sowieso bereits das System der SchiriKI über eine eingeschränkte Nutzung informiert.",['Z.K4'],"[(0, 408)]"
94,20230720_141643_727159,2,user,was ist mit menschlicher intuition und eingriff in streitfällen,['Z.K5'],"[(0, 63)]"
